id,title,field_paragraphs,field_description,field_media_canonical_image,field_blog_tags
1,"Nondum autem explanatum satis, erat, quid maxime natura vellet.
",1,"Tria genera bonorum; Sed quae tandem ista ratio est? Itaque his sapiens semper vacabit. Quos nisi redarguimus, omnis virtus, omne decus, omnis vera laus deserenda est.",1,1|2
2,"Ab his oratores, ab his imperatores ac rerum publicarum principes extiterunt.
",2,"toicos roga. Mihi enim satis est, ipsis non satis. Illa enim, quae prosunt aut quae nocent, aut bona sunt aut mala, quae sint paria necesse est. At quicum ioca seria, ut dicitur, quicum arcana, quicum occulta omnia?",2,2
3,"Quid autem habent admirationis, cum prope accesseris?
",3,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed haec omittamus; Tu vero, inquam, ducas licet, si sequetur; Beatus sibi videtur esse moriens.

",3,3
4,"Vitae autem degendae ratio maxime quidem illis placuit quieta.
",4,"Atqui reperies, inquit, in hoc quidem pertinacem; Si quae forte-possumus. Ut pulsi recurrant? Primum divisit ineleganter;

",4,3|4
5,"Verum tamen cum de rebus grandioribus dicas, ipsae res verba rapiunt;
",5,"At enim sequor utilitatem. Eiuro, inquit adridens, iniquum, hac quidem de re; Sed quae tandem ista ratio est? Nonne videmus quanta perturbatio rerum omnium consequatur, quanta confusio? At certe gravius.

",5,4
6,"Dic in quovis conventu te omnia facere, ne doleas.
",6,"Quae sequuntur igitur? Egone non intellego, quid sit don Graece, Latine voluptas?

",6,1
7,"Respondent extrema primis, media utrisque, omnia omnibus.
",7,"Negat esse eam, inquit, propter se expetendam. Quis istum dolorem timet? De illis, cum volemus. Ut pulsi recurrant?

",7,2
8,"Hoc non est positum in nostra actione.
",8,"Mihi enim erit isdem istis fortasse iam utendum. Re mihi non aeque satisfacit, et quidem locis pluribus. Quid iudicant sensus? Summum a vobis bonum voluptas dicitur.

",8,3|1
9,"Sit ista in Graecorum levitate perversitas, qui maledictis insectantur eos, a quibus de veritate dissentiunt.
",9,"Stulti autem malorum memoria torquentur, sapientes bona praeterita grata recordatione renovata delectant.
",9,1|3
10,Ego vero volo in virtute vim esse quam maximam.,10,"Quis enim redargueret? Pugnant Stoici cum Peripateticis. Hoc non est positum in nostra actione. Quid, si etiam iucunda memoria est praeteritorum malorum?

",10,2