id,field_events,country_code,city,postal_code,address_line_1,address_line_2,field_event_extra_remarks,field_media_canonical_image,field_event_place,field_description,field_paragraphs,field_show_breadcrumb,title
1,1,BE,Ghent,9000,Dropsolid,Moutstraat 60,"In cursus, est id placerat viverra, sapien quam ultrices sapien, eu pulvinar odio augue ac risus. Aliquam hendrerit nunc eget augue porta auctor. Sed vitae consequat sem. In a sagittis tortor, vel accumsan nunc. Nunc quis odio non risus dapibus tempor quis sit amet leo. Suspendisse in lectus laoreet velit aliquam lobortis. Nam a fermentum magna.",1,Ghent,"In cursus, est id placerat viverra, sapien quam ultrices sapien, eu pulvinar odio augue ac risus.",1,0,"Lorem ipsum dolor sit amet, consectetur adipiscing
"
2,2,BE,Ghent,9000,Dropsolid,Moutstraat 60,Aliquam hendrerit nunc eget augue porta auctor. Sed vitae consequat sem.,2,Ghent,"Equidem e Cn. Diodorus, eius auditor, adiungit ad honestatem vacuitatem doloris. Paria sunt igitur. Quid iudicant sensus?

",2,1,"Sed plane dicit quod intellegitLorem ipsum dolor sit amet, consectetur adipiscing
"
3,3,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Hoc loco tenere se Triarius non potuit. Quid iudicant sensus? Quid ergo aliud intellegetur nisi uti ne quae pars naturae neglegatur? Cur igitur, inquam, res tam dissimiles eodem nomine appellas? Istam voluptatem, inquit, Epicurus ignorat? Si mala non sunt, iacet omnis ratio Peripateticorum.",3,Ghent,"Hoc etsi multimodis reprehendi potest, tamen accipio, quod dant. Quid, de quo nulla dissensio est?",3,1,Verba tu fingas et ea dicas
4,4,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Hoc loco tenere se Triarius non potuit. Quid iudicant sensus? Quid ergo aliud intellegetur nisi uti ne quae pars naturae neglegatur? Cur igitur, inquam, res tam dissimiles eodem nomine appellas? Istam voluptatem, inquit, Epicurus ignorat? Si mala non sunt, iacet omnis ratio Peripateticorum.",4,Ghent,"Rationis enim perfectio est virtus; Quid igitur, inquit, eos responsuros putas? Sed videbimus. Omnis enim est natura diligens sui.

",4,0,Hic ambiguo ludimur
5,5,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Negat enim summo bono afferre incrementum diem. Quonam, inquit, modo? Suam denique cuique naturam esse ad vivendum ducem. Bonum integritas corporis: misera debilitas.

",5,Ghent,"Ita credo. Collige omnia, quae soletis: Praesidium amicorum. Gerendus est mos, modo recte sentiat.",5,1,Multoque hoc melius nos veriusque quam Stoici.
6,6,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Moriatur, inquit. Inde igitur, inquit, ordiendum est. Non semper, inquam; Non semper, inquam; Quo modo autem optimum, si bonum praeterea nullum est?


",6,Ghent,"Satis est ad hoc responsum. Huius, Lyco, oratione locuples, rebus ipsis ielunior. Quod autem satis est, eo quicquid accessit, nimium est;

",6,1,"Respondent extrema primis, media utrisque, omnia omnibus.
"
7,7,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Sint modo partes vitae beatae. Quod quidem nobis non saepe contingit. Hic nihil fuit, quod quaereremus. Ergo, inquit, tibi Q. Haeret in salebra.



",7,Ghent,"Et nemo nimium beatus est; Quorum sine causa fieri nihil putandum est. Quod cum dixissent, ille contra.",7,0,"Tum Triarius: Posthac quidem, inquit, audacius.
"
8,8,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Bonum integritas corporis: misera debilitas. Torquatus, is qui consul cum Cn. Si mala non sunt, iacet omnis ratio Peripateticorum. Videsne quam sit magna dissensio? Eadem nunc mea adversum te oratio est. Respondent extrema primis, media utrisque, omnia omnibus.




",8,Ghent,"Paulum, cum regem Persem captum adduceret, eodem flumine invectio? Sin laboramus, quis est, qui alienae modum statuat industriae?",8,1,"Omnes enim iucundum motum, quo sensus hilaretur.
"
9,9,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Sed mehercule pergrata mihi oratio tua. Efficiens dici potest. Deinde dolorem quem maximum? Est enim effectrix multarum et magnarum voluptatum. At ille pellit, qui permulcet sensum voluptate.





",9,Ghent,"Eam tum adesse, cum dolor omnis absit; Rhetorice igitur, inquam, nos mavis quam dialectice disputare?",9,1,"Videsne quam sit magna dissensio?
"
10,10,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Moriatur, inquit. Cur id non ita fit? Quamquam tu hanc copiosiorem etiam soles dicere. At ego quem huic anteponam non audeo dicere; Quae duo sunt, unum facit. Estne, quaeso, inquam, sitienti in bibendo voluptas?

",10,Ghent,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Atque hoc loco similitudines eas, quibus illi uti solent, dissimillimas proferebas. ",10,1,"Sed haec quidem liberius ab eo dicuntur et saepius.
"
11,11,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Addidisti ad extremum etiam indoctum fuisse. Num quid tale Democritus? Tecum optime, deinde etiam cum mediocri amico. Poterat autem inpune; Audeo dicere, inquit. Neutrum vero, inquit ille.

",11,Ghent,"Paria sunt igitur. Hoc enim constituto in philosophia constituta sunt omnia. Obsecro, inquit, Torquate, haec dicit Epicurus? Si quae forte-possumus.

",11,1,"At iam decimum annum in spelunca iacet.
"
12,12,BE,Ghent,9000,Dropsolid,Moutstraat 60,"At ille pellit, qui permulcet sensum voluptate. Qui est in parvis malis. Si longus, levis. An nisi populari fama? Videmus igitur ut conquiescere ne infantes quidem possint.

",12,Ghent,"Quare attende, quaeso. Sed in rebus apertissimis nimium longi sumus. Sed ad haec, nisi molestum est, habeo quae velim.

",12,1,"Stuprata per vim Lucretia a regis filio testata civis se ipsa interemit.
"
13,13,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Quid censes in Latino fore? Beatus autem esse in maximarum rerum timore nemo potest. Satis est ad hoc responsum. Scaevolam M. Non potes, nisi retexueris illa. Conferam avum tuum Drusum cum C. Facete M. Equidem, sed audistine modo de Carneade?

",13,Ghent,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Non est igitur voluptas bonum.",13,1,"Duo Reges: constructio interrete.
"
14,14,BE,Ghent,9000,Dropsolid,Moutstraat 60,"Iam id ipsum absurdum, maximum malum neglegi. Qui ita affectus, beatum esse numquam probabis; Aliter enim nosmet ipsos nosse non possumus. Honesta oratio, Socratica, Platonis etiam.

",14,Ghent,Cave putes quicquam esse verius. Duo Reges: constructio interrete. Efficiens dici potest.,14,0,"Illum mallem levares, quo optimum atque humanissimum virum, Cn.
"