id,field_media_canonical_image,field_description,field_paragraphs,field_show_breadcrumb,title
1,1,"In cursus, est id placerat viverra, sapien quam ultrices sapien, eu pulvinar odio augue ac risus.",1,1,"Dolere malum est: in crucem qui agitur, beatus esse non potest.
"
2,2,"Sed ad bona praeterita redeamus. Gloriosa ostentatio in constituendo summo bono.

",2,1,"Mihi quidem Antiochum, quem audis, satis belle videris attendere.
"
3,3,"An tu me de L. Maximus dolor, inquit, brevis est. Sed ad illum redeo. Quid sequatur, quid repugnet, vident. Nunc haec primum fortasse audientis servire debemus.

",3,1,"Addidisti ad extremum etiam indoctum fuisse.
"
4,4,"Etiam beatissimum? Itaque ab his ordiamur. Non autem hoc: igitur ne illud quidem. Suo genere perveniant ad extremum;

",4,0,"Nam de isto magna dissensio est.
"
5,5,"At coluit ipse amicitias. Quid de Pythagora? Si enim ad populum me vocas, eum. Idemne, quod iucunde?

",5,1,"Hoc ne statuam quidem dicturam pater aiebat, si loqui posset.
"
6,6,"Quorum altera prosunt, nocent altera. Urgent tamen et nihil remittunt. Quorum altera prosunt, nocent altera. Quae similitudo in genere etiam humano apparet.

",6,1,"Nec tamen ullo modo summum pecudis bonum et hominis idem mihi videri potest.
"
7,7,"Quis Aristidem non mortuum diligit? An potest cupiditas finiri? Profectus in exilium Tubulus statim nec respondere ausus; Teneo, inquit, finem illi videri nihil dolere.

",7,0,"Quid censes in Latino fore?
"
8,8,"Memini vero, inquam; Qui ita affectus, beatum esse numquam probabis; Hoc est non dividere, sed frangere.

",8,1,"Duo Reges: constructio interrete.
"
9,9,"Hic nihil fuit, quod quaereremus. Scisse enim te quis coarguere possit? Zenonis est, inquam, hoc Stoici. Quare ad ea primum, si videtur;

",9,1,"Primum in nostrane potestate est, quid meminerimus?
"
10,10,"Quae contraria sunt his, malane? Graece donan, Latine voluptatem vocant. Et non ex maxima parte de tota iudicabis?

",10,0,Sed in rebus apertissimis nimium longi sumus.