id,field_p_text
1,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam de summo mox, ut dixi, videbimus et ad id explicandum disputationem omnem conferemus. Haec para/doca illi, nos admirabilia dicamus. Quae qui non vident, nihil umquam magnum ac cognitione dignum amaverunt. <a href=""http://loripsum.net/"" target=""_blank"">Nos vero, inquit ille;</a> Aut unde est hoc contritum vetustate proverbium: quicum in tenebris? Ex quo, id quod omnes expetunt, beate vivendi ratio inveniri et comparari potest. Duo Reges: constructio interrete. Nec vero alia sunt quaerenda contra Carneadeam illam sententiam. </p><p>Indicant pueri, in quibus ut in speculis natura cernitur. Quare ad ea primum, si videtur; Id enim volumus, id contendimus, ut officii fructus sit ipsum officium. Quid de Platone aut de Democrito loquar? <i>Omnes enim iucundum motum, quo sensus hilaretur.</i> Ut necesse sit omnium rerum, quae natura vigeant, similem esse finem, non eundem. Si longus, levis dictata sunt. Huius ego nunc auctoritatem sequens idem faciam. </p><blockquote cite=""http://loripsum.net"">	Nam haec ipsa mihi erunt in promptu, quae modo audivi, nec ante aggrediar, quam te ab istis, quos dicis, instructum videro.</blockquote><p><i>Quod totum contra est.</i> <mark>Prave, nequiter, turpiter cenabat;</mark> Fortitudinis quaedam praecepta sunt ac paene leges, quae effeminari virum vetant in dolore. <b>Omnia contraria, quos etiam insanos esse vultis.</b> </p>"
2,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Summum ením bonum exposuit vacuitatem doloris; Quod quidem iam fit etiam in Academia. Mihi enim satis est, ipsis non satis. Occultum facinus esse potuerit, gaudebit; Duo Reges: constructio interrete. Heri, inquam, ludis commissis ex urbe profectus veni ad vesperum. </p><ul>	<li>Certe nihil nisi quod possit ipsum propter se iure laudari.</li>	<li>Sit enim idem caecus, debilis.</li></ul><p>Nam his libris eum malo quam reliquo ornatu villae delectari. Quae cum dixisset paulumque institisset, Quid est? Nam si beatus umquam fuisset, beatam vitam usque ad illum a Cyro extructum rogum pertulisset. Fortasse id optimum, sed ubi illud: Plus semper voluptatis? Nam his libris eum malo quam reliquo ornatu villae delectari. Sed quanta sit alias, nunc tantum possitne esse tanta. Quae in controversiam veniunt, de iis, si placet, disseramus. Hanc ergo intuens debet institutum illud quasi signum absolvere. Quis est enim, in quo sit cupiditas, quin recte cupidus dici possit? </p><p>Placet igitur tibi, Cato, cum res sumpseris non concessas, ex illis efficere, quod velis? Respondeat totidem verbis. Tum ille: Tu autem cum ipse tantum librorum habeas, quos hic tandem requiris? Ut in geometria, prima si dederis, danda sunt omnia. <a href=""http://loripsum.net/"" target=""_blank"">Sed ego in hoc resisto;</a> Summum a vobis bonum voluptas dicitur. Illis videtur, qui illud non dubitant bonum dicere -; <i>Est enim effectrix multarum et magnarum voluptatum.</i> Neque solum ea communia, verum etiam paria esse dixerunt. Ubi ut eam caperet aut quando? Roges enim Aristonem, bonane ei videantur haec: vacuitas doloris, divitiae, valitudo; Innumerabilia dici possunt in hanc sententiam, sed non necesse est. </p>"
3,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Superiores tres erant, quae esse possent, quarum est una sola defensa, eaque vehementer. Quid igitur dubitamus in tota eius natura quaerere quid sit effectum? Qua ex cognitione facilior facta est investigatio rerum occultissimarum. Duo Reges: constructio interrete. </p>

<p>Tum Piso: Quoniam igitur aliquid omnes, quid Lucius noster? Ergo id est convenienter naturae vivere, a natura discedere. <i>Sed ego in hoc resisto;</i> At quanta conantur! Mundum hunc omnem oppidum esse nostrum! Incendi igitur eos, qui audiunt, vides. Tum Piso: Quoniam igitur aliquid omnes, quid Lucius noster? Aliter enim nosmet ipsos nosse non possumus. </p>

<p>Quid enim tanto opus est instrumento in optimis artibus comparandis? <mark>Omnis enim est natura diligens sui.</mark> In qua quid est boni praeter summam voluptatem, et eam sempiternam? Si enim ad populum me vocas, eum. </p>

"
4,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Quae quidem sapientes sequuntur duce natura tamquam videntes; <a href=""http://loripsum.net/"" target=""_blank"">Quasi ego id curem, quid ille aiat aut neget.</a> Etsi ea quidem, quae adhuc dixisti, quamvis ad aetatem recte isto modo dicerentur. Tu autem negas fortem esse quemquam posse, qui dolorem malum putet. Illa argumenta propria videamus, cur omnia sint paria peccata. <b>Non autem hoc: igitur ne illud quidem.</b> <mark>Et quod est munus, quod opus sapientiae?</mark> Quamquam ab iis philosophiam et omnes ingenuas disciplinas habemus; </p>

<p>Id est enim, de quo quaerimus. Nam aliquando posse recte fieri dicunt nulla expectata nec quaesita voluptate. Habent enim et bene longam et satis litigiosam disputationem. Et harum quidem rerum facilis est et expedita distinctio. </p>

<p><a href=""http://loripsum.net/"" target=""_blank"">Nam, ut sint illa vendibiliora, haec uberiora certe sunt.</a> Duo Reges: constructio interrete. Is ita vivebat, ut nulla tam exquisita posset inveniri voluptas, qua non abundaret. Videamus animi partes, quarum est conspectus illustrior; Quis enim redargueret? </p>

"
5,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Ita est quoddam commune officium sapientis et insipientis, ex quo efficitur versari in iis, quae media dicamus. Haec et tu ita posuisti, et verba vestra sunt. <b>Tamen a proposito, inquam, aberramus.</b> Duo Reges: constructio interrete. <a href=""http://loripsum.net/"" target=""_blank"">Cur id non ita fit?</a> Age nunc isti doceant, vel tu potius quis enim ista melius? Et ille ridens: Video, inquit, quid agas; <a href=""http://loripsum.net/"" target=""_blank"">Diodorus, eius auditor, adiungit ad honestatem vacuitatem doloris.</a> Nec vero intermittunt aut admirationem earum rerum, quae sunt ab antiquis repertae, aut investigationem novarum. Si qua in iis corrigere voluit, deteriora fecit. </p>

<p>Quod ea non occurrentia fingunt, vincunt Aristonem; Atque adhuc ea dixi, causa cur Zenoni non fuisset, quam ob rem a superiorum auctoritate discederet. Quarum ambarum rerum cum medicinam pollicetur, luxuriae licentiam pollicetur. Suo genere perveniant ad extremum; Et non ex maxima parte de tota iudicabis? Si longus, levis dictata sunt. <mark>Nos cum te, M.</mark> <a href=""http://loripsum.net/"" target=""_blank"">Bonum negas esse divitias, praeposìtum esse dicis?</a> </p>

<p>Igitur ne dolorem quidem. Quis non odit sordidos, vanos, leves, futtiles? Satisne ergo pudori consulat, si quis sine teste libidini pareat? Illa videamus, quae a te de amicitia dicta sunt. <mark>Sed haec omittamus;</mark> Quia dolori non voluptas contraria est, sed doloris privatio. Piso igitur hoc modo, vir optimus tuique, ut scis, amantissimus. Vitae autem degendae ratio maxime quidem illis placuit quieta. </p>

"
6,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Poterat autem inpune; Qualem igitur hominem natura inchoavit? Quare ad ea primum, si videtur; Neque solum ea communia, verum etiam paria esse dixerunt. Ut placet, inquit, etsi enim illud erat aptius, aequum cuique concedere. <b>Quam si explicavisset, non tam haesitaret.</b> </p>

<p>Ita multa dicunt, quae vix intellegam. Cum autem assumpta ratío est, tanto in dominatu locatur, ut omnia illa prima naturae hulus tutelae subiciantur. In qua si nihil est praeter rationem, sit in una virtute finis bonorum; Immo alio genere; Quis istum dolorem timet? <a href=""http://loripsum.net/"" target=""_blank"">Diodorus, eius auditor, adiungit ad honestatem vacuitatem doloris.</a> Stoici autem, quod finem bonorum in una virtute ponunt, similes sunt illorum; <i>Restinguet citius, si ardentem acceperit.</i> </p>

<p><i>Qui ita affectus, beatum esse numquam probabis;</i> <a href=""http://loripsum.net/"" target=""_blank"">Duo Reges: constructio interrete.</a> Fortasse id optimum, sed ubi illud: Plus semper voluptatis? Et quod est munus, quod opus sapientiae? Illa videamus, quae a te de amicitia dicta sunt. Videmus igitur ut conquiescere ne infantes quidem possint. Primum Theophrasti, Strato, physicum se voluit; <a href=""http://loripsum.net/"" target=""_blank"">Graece donan, Latine voluptatem vocant.</a> Ita ceterorum sententiis semotis relinquitur non mihi cum Torquato, sed virtuti cum voluptate certatio. </p>

"
7,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Miserum hominem! Si dolor summum malum est, dici aliter non potest. In qua si nihil est praeter rationem, sit in una virtute finis bonorum; <b>Quasi ego id curem, quid ille aiat aut neget.</b> Cur igitur, inquam, res tam dissimiles eodem nomine appellas? <mark>Duo Reges: constructio interrete.</mark> Sequitur disserendi ratio cognitioque naturae; </p>

<p>Quod si ita se habeat, non possit beatam praestare vitam sapientia. Illud quaero, quid ei, qui in voluptate summum bonum ponat, consentaneum sit dicere. Nobis aliter videtur, recte secusne, postea; Maximeque eos videre possumus res gestas audire et legere velle, qui a spe gerendi absunt confecti senectute. Itaque haec cum illis est dissensio, cum Peripateticis nulla sane. Equidem, sed audistine modo de Carneade? <mark>Quo tandem modo?</mark> Nam quibus rebus efficiuntur voluptates, eae non sunt in potestate sapientis. </p>

<p>Sed quot homines, tot sententiae; At hoc in eo M. <a href=""http://loripsum.net/"" target=""_blank"">Respondent extrema primis, media utrisque, omnia omnibus.</a> Miserum hominem! Si dolor summum malum est, dici aliter non potest. Quid de Pythagora? Easdemne res? Audax negotium, dicerem impudens, nisi hoc institutum postea translatum ad philosophos nostros esset. </p>

"
8,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Portenta haec esse dicit, neque ea ratione ullo modo posse vivi; <b>Nos vero, inquit ille;</b> <i>Quonam, inquit, modo?</i> <a href=""http://loripsum.net/"" target=""_blank"">Tu quidem reddes;</a> <i>Et quidem, inquit, vehementer errat;</i> Duo Reges: constructio interrete. </p>

<p>Expressa vero in iis aetatibus, quae iam confirmatae sunt. Quod si ita sit, cur opera philosophiae sit danda nescio. Quamquam in hac divisione rem ipsam prorsus probo, elegantiam desidero. Non dolere, inquam, istud quam vim habeat postea videro; Portenta haec esse dicit, neque ea ratione ullo modo posse vivi; Si enim ad populum me vocas, eum. Solum praeterea formosum, solum liberum, solum civem, stultost; Egone non intellego, quid sit don Graece, Latine voluptas? </p>

<p>Tamen a proposito, inquam, aberramus. Illud dico, ea, quae dicat, praeclare inter se cohaerere. Sapiens autem semper beatus est et est aliquando in dolore; </p>

"
9,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Mihi quidem Antiochum, quem audis, satis belle videris attendere. Non est ista, inquam, Piso, magna dissensio. Aliud igitur esse censet gaudere, aliud non dolere. </p>

<p><i>Duo Reges: constructio interrete.</i> Ut optime, secundum naturam affectum esse possit. <b>Quod cum dixissent, ille contra.</b> His singulis copiose responderi solet, sed quae perspicua sunt longa esse non debent. <a href=""http://loripsum.net/"" target=""_blank"">Haec dicuntur fortasse ieiunius;</a> Quid ei reliquisti, nisi te, quoquo modo loqueretur, intellegere, quid diceret? </p>

<p>In qua si nihil est praeter rationem, sit in una virtute finis bonorum; Scisse enim te quis coarguere possit? <a href=""http://loripsum.net/"" target=""_blank"">Haeret in salebra.</a> Res tota, Torquate, non doctorum hominum, velle post mortem epulis celebrari memoriam sui nominis. <b>Sin aliud quid voles, postea.</b> Heri, inquam, ludis commissis ex urbe profectus veni ad vesperum. Restinguet citius, si ardentem acceperit. Servari enim iustitia nisi a forti viro, nisi a sapiente non potest. <i>At iam decimum annum in spelunca iacet.</i> </p>

"
10,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Portenta haec esse dicit, neque ea ratione ullo modo posse vivi; <mark>Que Manilium, ab iisque M.</mark> Scientiam pollicentur, quam non erat mirum sapientiae cupido patria esse cariorem. Quis enim redargueret? Quo tandem modo? Non quam nostram quidem, inquit Pomponius iocans; Vos autem cum perspicuis dubia debeatis illustrare, dubiis perspicua conamini tollere. Duo Reges: constructio interrete. </p>

<p>Illa argumenta propria videamus, cur omnia sint paria peccata. <a href=""http://loripsum.net/"" target=""_blank"">Id enim natura desiderat.</a> Quamquam in hac divisione rem ipsam prorsus probo, elegantiam desidero. Te enim iudicem aequum puto, modo quae dicat ille bene noris. <i>Quod quidem nobis non saepe contingit.</i> Positum est a nostris in iis esse rebus, quae secundum naturam essent, non dolere; Erit enim instructus ad mortem contemnendam, ad exilium, ad ipsum etiam dolorem. Hi curatione adhibita levantur in dies, valet alter plus cotidie, alter videt. Erit enim instructus ad mortem contemnendam, ad exilium, ad ipsum etiam dolorem. </p>

<p>Ubi ut eam caperet aut quando? Suo enim quisque studio maxime ducitur. <i>Respondent extrema primis, media utrisque, omnia omnibus.</i> Occultum facinus esse potuerit, gaudebit; Quae similitudo in genere etiam humano apparet. <mark>Easdemne res?</mark> </p>

"
11,"<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam et complectitur verbis, quod vult, et dicit plane, quod intellegam; Quid de Platone aut de Democrito loquar? Et ille ridens: Video, inquit, quid agas; Beatus autem esse in maximarum rerum timore nemo potest. Utilitatis causa amicitia est quaesita. Duo Reges: constructio interrete. Negabat igitur ullam esse artem, quae ipsa a se proficisceretur; Suo genere perveniant ad extremum; At certe gravius. Nam Pyrrho, Aristo, Erillus iam diu abiecti. </p>

<p><i>Aliter enim nosmet ipsos nosse non possumus.</i> Collige omnia, quae soletis: Praesidium amicorum. Omnia peccata paria dicitis. Bonum negas esse divitias, praeposìtum esse dicis? Multa sunt dicta ab antiquis de contemnendis ac despiciendis rebus humanis; <i>Sequitur disserendi ratio cognitioque naturae;</i> Itaque eos id agere, ut a se dolores, morbos, debilitates repellant. Quicquid porro animo cernimus, id omne oritur a sensibus; </p>

<p>Longum est enim ad omnia respondere, quae a te dicta sunt. Quicquid enim a sapientia proficiscitur, id continuo debet expletum esse omnibus suis partibus; <a href=""http://loripsum.net/"" target=""_blank"">Omnes enim iucundum motum, quo sensus hilaretur.</a> Nec tamen ullo modo summum pecudis bonum et hominis idem mihi videri potest. Apud imperitos tum illa dicta sunt, aliquid etiam coronae datum; Quod autem principium officii quaerunt, melius quam Pyrrho; Sed non alienum est, quo facilius vis verbi intellegatur, rationem huius verbi faciendi Zenonis exponere. Et harum quidem rerum facilis est et expedita distinctio. </p>

"
12,"<h2>Quam ob rem tandem, inquit, non satisfacit?</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Gerendus est mos, modo recte sentiat. Non minor, inquit, voluptas percipitur ex vilissimis rebus quam ex pretiosissimis. <i>Quis istud possit, inquit, negare?</i> <a href=""http://loripsum.net/"" target=""_blank"">Duo Reges: constructio interrete.</a> Et quod est munus, quod opus sapientiae? Atqui iste locus est, Piso, tibi etiam atque etiam confirmandus, inquam; Qui autem esse poteris, nisi te amor ipse ceperit? </p>

<p>Quo modo autem optimum, si bonum praeterea nullum est? Et non ex maxima parte de tota iudicabis? Aliis esse maiora, illud dubium, ad id, quod summum bonum dicitis, ecquaenam possit fieri accessio. Eorum enim est haec querela, qui sibi cari sunt seseque diligunt. An eum discere ea mavis, quae cum plane perdidiceriti nihil sciat? Est tamen ea secundum naturam multoque nos ad se expetendam magis hortatur quam superiora omnia. Itaque nostrum est-quod nostrum dico, artis est-ad ea principia, quae accepimus. </p>

<h2>Istic sum, inquit.</h2>

<p>Qui autem esse poteris, nisi te amor ipse ceperit? Hoc enim constituto in philosophia constituta sunt omnia. Facile est hoc cernere in primis puerorum aetatulis. In qua quid est boni praeter summam voluptatem, et eam sempiternam? </p>

"
13,"<h2>Quantum Aristoxeni ingenium consumptum videmus in musicis?</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. <a href=""http://loripsum.net/"" target=""_blank"">Praeteritis, inquit, gaudeo.</a> Quis animo aequo videt eum, quem inpure ac flagitiose putet vivere? Videamus igitur sententias eorum, tum ad verba redeamus. Ergo hoc quidem apparet, nos ad agendum esse natos. Duo Reges: constructio interrete. </p>

<h3>Quod ea non occurrentia fingunt, vincunt Aristonem;</h3>

<p><a href=""http://loripsum.net/"" target=""_blank"">De quibus cupio scire quid sentias.</a> Beatus autem esse in maximarum rerum timore nemo potest. Quae hic rei publicae vulnera inponebat, eadem ille sanabat. Ut id aliis narrare gestiant? Potius inflammat, ut coercendi magis quam dedocendi esse videantur. Quorum sine causa fieri nihil putandum est. Expressa vero in iis aetatibus, quae iam confirmatae sunt. Nondum autem explanatum satis, erat, quid maxime natura vellet. </p>

<h2>Prioris generis est docilitas, memoria;</h2>

<p>Profectus in exilium Tubulus statim nec respondere ausus; Ita enim vivunt quidam, ut eorum vita refellatur oratio. Nos paucis ad haec additis finem faciamus aliquando; Philosophi autem in suis lectulis plerumque moriuntur. Memini me adesse P. Quod autem meum munus dicis non equidem recuso, sed te adiungo socium. Fortasse id optimum, sed ubi illud: Plus semper voluptatis? Duo enim genera quae erant, fecit tria. </p>

"
14,"<h2>Non dolere, inquam, istud quam vim habeat postea videro;</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Vos autem cum perspicuis dubia debeatis illustrare, dubiis perspicua conamini tollere. <i>Potius inflammat, ut coercendi magis quam dedocendi esse videantur.</i> <a href=""http://loripsum.net/"" target=""_blank"">Nam ista vestra: Si gravis, brevis;</a> Graecum enim hunc versum nostis omnes-: Suavis laborum est praeteritorum memoria. Itaque nostrum est-quod nostrum dico, artis est-ad ea principia, quae accepimus. Cum audissem Antiochum, Brute, ut solebam, cum M. <a href=""http://loripsum.net/"" target=""_blank"">Duo Reges: constructio interrete.</a> An quod ita callida est, ut optime possit architectari voluptates? Quid ei reliquisti, nisi te, quoquo modo loqueretur, intellegere, quid diceret? <b>Habes, inquam, Cato, formam eorum, de quibus loquor, philosophorum.</b> </p>

<h2>Tum Piso: Quoniam igitur aliquid omnes, quid Lucius noster?</h2>

<p><b>Tum Piso: Quoniam igitur aliquid omnes, quid Lucius noster?</b> Totum autem id externum est, et quod externum, id in casu est. Ut enim consuetudo loquitur, id solum dicitur honestum, quod est populari fama gloriosum. Ita prorsus, inquam; </p>

<p>Si enim ad populum me vocas, eum. Sextilio Rufo, cum is rem ad amicos ita deferret, se esse heredem Q. <b>Prioris generis est docilitas, memoria;</b> Sit hoc ultimum bonorum, quod nunc a me defenditur; Beatus sibi videtur esse moriens. At hoc in eo M. Similiter sensus, cum accessit ad naturam, tuetur illam quidem, sed etiam se tuetur; Et quod est munus, quod opus sapientiae? </p>

"
15,"<h2>Suo genere perveniant ad extremum;</h2>

<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. Itaque eos id agere, ut a se dolores, morbos, debilitates repellant. <b>Sed ego in hoc resisto;</b> Quam nemo umquam voluptatem appellavit, appellat; Quasi vero, inquit, perpetua oratio rhetorum solum, non etiam philosophorum sit. </p>

<p>Quamquam tu hanc copiosiorem etiam soles dicere. Eam tum adesse, cum dolor omnis absit; Dulce amarum, leve asperum, prope longe, stare movere, quadratum rotundum. Quae similitudo in genere etiam humano apparet. Ego vero isti, inquam, permitto. Quem ad modum quis ambulet, sedeat, qui ductus oris, qui vultus in quoque sit? An potest, inquit ille, quicquam esse suavius quam nihil dolere? </p>

<p>Nam Pyrrho, Aristo, Erillus iam diu abiecti. Duo Reges: constructio interrete. </p>

"